Symbol,Description,Primary Return %,1W Return %,1M Return %,3M Return %,6M Return %,Custom Period Return %,1Y Return %,YTD Return %,RS 1W,RS 1M,Rel Return 1W %,Rel Return 1M %,Rel Return 3M %
XLE,State Street Energy Select Sector SPDR ETF,,3.781256352917259,13.545373665480417,16.009544369957947,17.073730076826056,,13.823857302118162,1.069095228667589,99.00000000000001,99,3.370312753618164,12.73148714817361,15.241702247879784
XLB,State Street Materials Select Sector SPDR ETF,,-1.4008405043025731,7.741089000656038,12.823448591710559,12.321896728599114,,11.218961625282182,-1.4599999999999937,1,77.78029374623945,-1.7912645068145445,6.968807252251841,12.076694549555507
XLP,State Street Consumer Staples Select Sector SPDR ETF,,0.7236762754794459,6.858605246321176,9.049360146252294,4.675357232389075,,5.7758074730842335,1.6802629976866064,99,90.87206598075238,0.3248398042526362,6.092649089230894,8.327585980508337
XLI,State Street Industrial Select Sector SPDR ETF,,0.7429058579953715,5.766526019690583,6.680423007480001,8.834945069403334,,20.06676827055665,-0.25322561196190513,99,75.63776947524306,0.3439932432130644,5.008397821853009,5.974328325088762
XLRE,State Street Real Estate Select Sector SPDR ETF,,0.4363636363636357,1.7436149312377234,1.9188191881918848,0.048297512678104636,,1.1227727605565068,0.14503263234228253,99,57.39012241983268,0.0386648396475358,1.0143227219527202,1.2442405332185102
XLC,State Street Communication Services Select Sector SPDR ETF,,2.6675786593707294,1.5132301969735327,3.2590936451973445,11.795922167395961,,17.875723961912236,0.24209032473494618,99.00000000000001,98.99999999999999,2.26104489992064,0.7855893718265061,2.5756440030235344
XLU,State Street Utilities Select Sector SPDR ETF,,1.621240601503754,0.6750465549348211,-3.995560488346276,0.9688338975137134,,12.718269481365658,-0.18462958689129538,99,66.16045355335642,1.2188500365253232,-0.04658621948096385,-4.630993141443053
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,,-1.5918135304150034,0.6729810568295134,1.3338908634748057,9.443164882807206,,4.936347103143676,-0.016503011799650157,25.654505166932523,31.526033255757216,-1.9814813352716534,-0.048636912218097135,0.6631837227682528
XLV,State Street Health Care Select Sector SPDR ETF,,-1.7399034798069475,-0.6038026721479943,7.473260175024323,18.638350072836005,,6.233694905945361,0.5981016772851488,30.59700694149918,20.719374953997242,-2.1289848915232485,-1.3162687310033565,6.7619178746332445
XLK,State Street Technology Select Sector SPDR ETF,,-0.8339651250947742,-1.052197235403343,-5.3825666655706454,9.522722082667268,,24.17364287563648,-2.0358139851569477,1,1,-1.2266337892814394,-1.7614492285712644,-6.008819024302521
XLF,State Street Financial Select Sector SPDR ETF,,0.6971923874128461,-3.153316418992392,2.5916682664618818,2.0431544777544404,,4.212168486739463,-0.20541549953314556,99,19.63125684768901,0.29846078468223364,-3.8475077142245504,1.9126361687403053